time,frequency,midi
3.562500000000000000e+00,2.191780821917808169e+02,5.700000000000000000e+01
3.587499999999999911e+00,2.191780821917808169e+02,5.700000000000000000e+01
3.612499999999999822e+00,2.191780821917808169e+02,5.700000000000000000e+01
3.637500000000000178e+00,2.191780821917808169e+02,5.700000000000000000e+01
3.662500000000000089e+00,2.191780821917808169e+02,5.700000000000000000e+01
3.687500000000000000e+00,2.191780821917808169e+02,5.700000000000000000e+01
3.712499999999999911e+00,2.162162162162162247e+02,5.700000000000000000e+01
3.737499999999999822e+00,1.739130434782608745e+02,5.300000000000000000e+01
3.762500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
3.787500000000000089e+00,1.739130434782608745e+02,5.300000000000000000e+01
3.812500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
3.837499999999999911e+00,1.739130434782608745e+02,5.300000000000000000e+01
3.862499999999999822e+00,1.739130434782608745e+02,5.300000000000000000e+01
3.887500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
3.912500000000000089e+00,1.739130434782608745e+02,5.300000000000000000e+01
3.937500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
3.962499999999999911e+00,1.739130434782608745e+02,5.300000000000000000e+01
3.987499999999999822e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.012500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.037499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.062500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.087500000000000355e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.112499999999999822e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.137500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.162499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.187500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.212500000000000355e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.237499999999999822e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.262500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.287499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.312500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.337500000000000355e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.362499999999999822e+00,1.729729729729729684e+02,5.300000000000000000e+01
4.387500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.412499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.437500000000000000e+00,1.748633879781420717e+02,5.300000000000000000e+01
4.462500000000000355e+00,1.748633879781420717e+02,5.300000000000000000e+01
4.487499999999999822e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.512500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.537499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.562500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.587500000000000355e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.612499999999999822e+00,1.748633879781420717e+02,5.300000000000000000e+01
4.637500000000000178e+00,1.748633879781420717e+02,5.300000000000000000e+01
4.662499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.687500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.712500000000000355e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.737499999999999822e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.762500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.787499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.812500000000000000e+00,1.748633879781420717e+02,5.300000000000000000e+01
4.837500000000000355e+00,1.748633879781420717e+02,5.300000000000000000e+01
4.862499999999999822e+00,1.748633879781420717e+02,5.300000000000000000e+01
4.887500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.912499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.937500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.962500000000000355e+00,1.739130434782608745e+02,5.300000000000000000e+01
4.987499999999999822e+00,1.748633879781420717e+02,5.300000000000000000e+01
5.012500000000000178e+00,1.748633879781420717e+02,5.300000000000000000e+01
5.037499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.062500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.087500000000000355e+00,1.729729729729729684e+02,5.300000000000000000e+01
5.112499999999999822e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.137500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.162499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.187500000000000000e+00,1.748633879781420717e+02,5.300000000000000000e+01
5.212500000000000355e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.237499999999999822e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.262500000000000178e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.287499999999999645e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.312500000000000000e+00,1.739130434782608745e+02,5.300000000000000000e+01
5.337500000000000355e+00,1.739130434782608745e+02,5.300000000000000000e+01
